country,country_code,year,parameter,value,unit,source
Lao People's Democratic Republic,418,2000,"Drinking water, Limited",0.35982943810809,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Available",75.635421711116,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Free of contamination",21.413034424405,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Safely managed service",17.0,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, On premises",33.095217396903,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Unimproved",18.261463130857,,"WHO, UNICEF"
Lao People's Democratic Republic,418,2000,"Drinking water, Surface water",4.7234279900113,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Surface water",0.09,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, At least basic service",99.296882459384,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Basic service",98.0,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Limited",0.29878700840337,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, On premises",97.404564739496,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Unimproved",0.31433053221287,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Surface water",0.8542623178094,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Unimproved",1.8686950126236,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, On premises",92.577302103392,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Safely managed service",92.0,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Free of contamination",96.764392654698,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Limited",0.39848302915222,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Basic service",96.0,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, At least basic service",92.936720299841,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Unimproved",4.402293460925,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, On premises",84.708922124402,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Limited",0.56098623923444,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Basic service",92.0,,"WHO, UNICEF"
Malaysia,458,2000,"Drinking water, Surface water",2.1,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Free of contamination",38.798530635508,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Basic service",39.0,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Limited",20.522227606161,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Available",50.829082770549,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Safely managed service",18.0,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, On premises",18.730342322561,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Unimproved",20.322838438269,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Surface water",19.524400886525,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Available",58.258483873869,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Surface water",15.735230835798,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Unimproved",17.560144745929,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, On premises",27.514256595106,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Safely managed service",27.0,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Free of contamination",45.943925626592,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Limited",18.977771181308,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Basic service",47.0,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Unimproved",10.100098266464,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Surface water",5.5034206855792,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, On premises",51.233266466469,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Safely managed service",51.0,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Free of contamination",65.238479850071,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Available",78.319934412504,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Limited",14.807311408864,,"WHO, UNICEF"
Myanmar,104,2000,"Drinking water, Basic service",69.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Safely managed service",60.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, On premises",60.383837471123,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Unimproved",3.2608670207103,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Surface water",0.85511276094037,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Free of contamination",59.778544374897,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Available",86.026739878891,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Limited",2.5065807316878,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Basic service",94.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Basic service",87.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Limited",3.0040998004239,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Available",78.902873331741,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Free of contamination",43.846430372362,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Safely managed service",42.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, On premises",40.853678888388,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Unimproved",7.8885619877738,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Surface water",3.1286847059454,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Basic service",80.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Limited",3.4302211767986,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Available",72.801324356303,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Free of contamination",30.20068152561,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Safely managed service",26.0,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, On premises",24.126230071131,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Unimproved",11.852158440627,,"WHO, UNICEF"
Philippines,608,2000,"Drinking water, Surface water",5.0759830403366,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Surface water",0.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Unimproved",0.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, On premises",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Safely managed service",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Free of contamination",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Basic service",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Free of contamination",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Surface water",0.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Unimproved",0.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, On premises",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Safely managed service",100.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Singapore,702,2000,"Drinking water, Basic service",100.0,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, At least basic service",94.115364246538,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Basic service",94.0,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Limited",0.19952512918369,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Available",93.742124150685,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, On premises",89.296015332038,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Unimproved",5.1017036246715,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Surface water",0.58340699960698,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Surface water",0.80738512349763,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Unimproved",6.6105540417014,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, On premises",86.308635707332,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Available",91.833034929823,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Limited",0.29079360867037,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Basic service",92.0,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, At least basic service",92.291267226131,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Available",97.915646518586,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, On premises",95.826825104095,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Unimproved",1.8031569346468,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Surface water",0.093760797787252,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, At least basic service",98.103082267566,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Basic service",98.0,,"WHO, UNICEF"
Thailand,764,2000,"Drinking water, Limited",0.0,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Surface water",1.6439439508114,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Basic service",95.0,,"WHO, UNICEF"
Viet Nam,704,2000,"Drinking water, Limited",1.1286014326452,,"WHO, UNICEF"
