Indicator,SeriesDescription,GeoAreaName,GeoAreaCode,TimePeriod,Value,Units,Source
6.1.1,"Drinking water, Unimproved",Albania,8,2000,4.0425639652912,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Albania,8,2000,1.5855160550458,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Albania,8,2000,94.371919979663,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Albania,8,2000,64.268641245385,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Albania,8,2000,30.103278734278,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",Albania,8,2000,80.423157490698,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",Algeria,12,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Algeria,12,2000,24.002572791431,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Algeria,12,2000,67.648487003333,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Algeria,12,2000,91.651059794764,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Algeria,12,2000,1.0110220848057,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",Algeria,12,2000,7.3379181204299,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",Algeria,12,2000,51.997150765345,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",Algeria,12,2000,51,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",Algeria,12,2000,69.108922566777,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",Algeria,12,2000,85.399325626174,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",Algeria,12,2000,8.2404580544136,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",Algeria,12,2000,82,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Algeria,12,2000,81.340111197045,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",Algeria,12,2000,79.830631057591,,"WHO, UNICEF"
6.1.1,"Drinking water, Available",Algeria,12,2000,86.845114642348,,"WHO, UNICEF"
6.1.1,"Drinking water, Limited",Algeria,12,2000,5.5385406322022,,"WHO, UNICEF"
6.1.1,"Drinking water, Basic service",Algeria,12,2000,89,,"WHO, UNICEF"
6.1.1,"Drinking water, At least basic service",Algeria,12,2000,,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",Algeria,12,2000,69,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",Algeria,12,2000,70.078517334717,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",Algeria,12,2000,4.1419854118559,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Algeria,12,2000,0.47064537609935,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Algeria,12,2000,95.387369212045,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Algeria,12,2000,14.047258015,,"WHO, UNICEF"
6.1.1,"Drinking water, Non-piped improved",Algeria,12,2000,7.3879508578702,,"WHO, UNICEF"
6.1.1,"Drinking water, Piped improved",Algeria,12,2000,90.498703855173,,"WHO, UNICEF"
6.1.1,"Drinking water, Total",Algeria,12,2000,97.886654713043,,"WHO, UNICEF"
6.1.1,"Drinking water, Surface water",Algeria,12,2000,0.10917671378092,,"WHO, UNICEF"
6.1.1,"Drinking water, Unimproved",Algeria,12,2000,2.0041685731756,,"WHO, UNICEF"
6.1.1,"Drinking water, On premises",Algeria,12,2000,82.173495873645,,"WHO, UNICEF"
6.1.1,"Drinking water, Safely managed service",Algeria,12,2000,82,,"WHO, UNICEF"
6.1.1,"Drinking water, Free of contamination",Algeria,12,2000,87.002588632173,,"WHO, UNICEF"
